사업장명,지번주소,도로명주소,업태구분명,구,경도,위도
릴버거,서울특별시 광진구 자양동 92-1 1층 ,"서울특별시 광진구 자양강변길 89, 1층 (자양동)",경양식,광진구,127.0638821,37.5326846
처비버디(chubby buddy),서울특별시 광진구 구의동 246-23 ,"서울특별시 광진구 아차산로49길 12, 1층 (구의동)",기타,광진구,127.0846312,37.53744862
짐스하이드어웨이(JIM.S HIDEAWAY),서울특별시 광진구 군자동 45-19 1층 ,"서울특별시 광진구 군자로 162, 1층 (군자동)",기타,광진구,127.0769649,37.55528491
추억이닭,서울특별시 광진구 구의동 248-11번지 ,서울특별시 광진구 자양로26길 32 (구의동),호프/통닭,광진구,127.0856554,37.54137798
조전네,서울특별시 광진구 중곡동 51-14 1층 ,"서울특별시 광진구 긴고랑로22길 23-6, 1층 (중곡동)",한식,광진구,127.0839548,37.55983879
햇살담은생선구이,서울특별시 광진구 자양동 613-22번지 1층 ,"서울특별시 광진구 자양로15길 105, 1층 (자양동)",한식,광진구,127.0782354,37.53445287
상상라오 건대점,서울특별시 광진구 화양동 8-26 2층,"서울특별시 광진구 동일로22길 105, 2층 (화양동)",경양식,광진구,127.0698584,37.54096722
호식이두마리치킨중곡점,서울특별시 광진구 중곡동 190-28번지 1층 ,"서울특별시 광진구 동일로72길 9, 1층 (중곡동)",호프/통닭,광진구,127.0782146,37.56614694
호담,서울특별시 광진구 군자동 467-12 ,"서울특별시 광진구 동일로60길 47, 1층 (군자동)",일식,광진구,127.0759933,37.55780396
고래식탁,서울특별시 광진구 중곡동 196-13 ,"서울특별시 광진구 면목로16길 13, 101호 (중곡동)",한식,광진구,127.0838882,37.56948472
유월의보리본점,"서울특별시 광진구 자양동 510-5 112,113호 ","서울특별시 광진구 능동로 68, 이튼타워리버1차 상가 1층 112,113호 (자양동)",한식,광진구,127.0696801,37.53691313
다이야,서울특별시 광진구 자양동 606-45번지 ,"서울특별시 광진구 자양번영로6길 67, 1층 (자양동)",일식,광진구,127.0792066,37.53159474
선명,서울특별시 광진구 화양동 47-41 ,"서울특별시 광진구 동일로24길 60, 1층 (화양동)",일식,광진구,127.0683587,37.5429954
모과나무집,서울특별시 광진구 군자동 48-40 지하1층 ,"서울특별시 광진구 동일로56길 60, 지하1층 (군자동)",기타,광진구,127.0751088,37.55516942
남원골민물매운탕,서울특별시 광진구 중곡동 198-1 중앙빌딩 ,"서울특별시 광진구 면목로 182, 중앙빌딩 1층 (중곡동)",한식,광진구,127.0831855,37.56926515
더꼬치다 자양점,서울특별시 광진구 자양동 615-27 우양빌딩 ,"서울특별시 광진구 뚝섬로 613, 우양빌딩 1층 (자양동)",한식,광진구,127.0779917,37.53279355
폽타이와웨이브6,서울특별시 광진구 자양동 605-3 ,"서울특별시 광진구 자양번영로6길 60, 1층 (자양동)",중국식,광진구,127.0787499,37.53154174
완미족발아차산점,서울특별시 광진구 중곡동 79-7 ,"서울특별시 광진구 용마산로 50, 1층 (중곡동)",한식,광진구,127.0881729,37.558138
호텔더디자이너스건대베이커리,서울특별시 광진구 중곡동 638-3번지 호텔 더디자이너스 건대 ,"서울특별시 광진구 천호대로 521, 호텔 더디자이너스 건대 1층 (중곡동)",경양식,광진구,127.0766042,37.55868066
싸다유정상초밥,서울특별시 광진구 자양동 612-32번지 1층 ,"서울특별시 광진구 자양로15길 90, 1층 (자양동)",일식,광진구,127.078806,37.53489873
카페 몽당,서울특별시 광진구 광장동 350-4번지 1층 ,"서울특별시 광진구 광장로5길 24, 1층 (광장동)",기타,광진구,127.1052134,37.54878684
소녀방앗간중곡시장점,서울특별시 광진구 중곡동 239-5번지 ,"서울특별시 광진구 긴고랑로7길 5, 1층 (중곡동)",한식,광진구,127.0791268,37.5637311
핫오리건대2호점,서울특별시 광진구 자양동 9-31번지 1층 ,"서울특별시 광진구 동일로20길 72, 1층 (자양동)",중국식,광진구,127.067405,37.54022678
카페토크,서울특별시 광진구 중곡동 169-21번지 ,"서울특별시 광진구 면목로 172, 1층 (중곡동)",기타,광진구,127.0828616,37.56845789
드로잉레시피(Drawing Recipe),서울특별시 광진구 자양동 533-4 상석빌딩103호 ,"서울특별시 광진구 뚝섬로33길 45, 상석빌딩 1층 103호 (자양동)",경양식,광진구,127.0700897,37.53702301
찌마기,서울특별시 광진구 구의동 221-81 ,"서울특별시 광진구 구의로 17, 1층 (구의동)",탕류(보신용),광진구,127.0892687,37.53947582
한촌설렁탕 군자점,서울특별시 광진구 군자동 242 ,"서울특별시 광진구 능동로 255, 1층 (군자동)",한식,광진구,127.0768993,37.55293765
도담,서울특별시 광진구 구의동 53-14 2층 ,"서울특별시 광진구 자양로43길 43, 2층 (구의동)",경양식,광진구,127.0901923,37.55247676
성주의루프탑,서울특별시 광진구 화양동 9-86 ,"서울특별시 광진구 동일로22길 89, 5층 (화양동)",경양식,광진구,127.069139,37.54119475
시그니처노크,서울특별시 광진구 화양동 9-86 4층 ,"서울특별시 광진구 동일로22길 89, 4층 (화양동)",경양식,광진구,127.069139,37.54119475
블루(BLUE),서울특별시 광진구 화양동 45-83번지 ,"서울특별시 광진구 아차산로25길 15, 1층 (화양동)",한식,광진구,127.0667192,37.54213945
더빈마켓,서울특별시 광진구 중곡동 132-11 향림빌딩1층 ,"서울특별시 광진구 천호대로 589, 향림빌딩 1층 (중곡동)",분식,광진구,127.0834438,37.55601743
시장을여는사람들 건대점,서울특별시 광진구 화양동 9-91 캠퍼스 프라자 ,"서울특별시 광진구 동일로22길 81, 2층 204~207호 (화양동, 캠퍼스 프라자)",한식,광진구,127.0686901,37.5415099
한뚝배기뼈해장국,서울특별시 광진구 구의동 70-3번지 ,"서울특별시 광진구 자양로 244, 1층 (구의동)",한식,광진구,127.0890055,37.54815759
안다미로,서울특별시 광진구 화양동 48-23 2층 ,"서울특별시 광진구 아차산로25길 8, 2층 (화양동)",기타,광진구,127.0667474,37.54177519
진짜통등갈비,서울특별시 광진구 자양동 57-91번지 ,"서울특별시 광진구 능동로3라길 11, 1층 101호 (자양동)",한식,광진구,127.0649134,37.53434622
신사소곱창,서울특별시 광진구 화양동 10-8번지 ,"서울특별시 광진구 아차산로31길 39, 1층 (화양동)",한식,광진구,127.0699855,37.54275748
소품격중곡점,서울특별시 광진구 중곡동 198-11 1층 ,"서울특별시 광진구 면목로 178, 1층 (중곡동)",한식,광진구,127.0831928,37.56900294
마라입구,서울특별시 광진구 화양동 21-1 1층 ,"서울특별시 광진구 광나루로 352, 1층 (화양동)",중국식,광진구,127.068801,37.54798861
지현이네,서울특별시 광진구 중곡동 169-11 201호 ,"서울특별시 광진구 능동로 441, 2층 201호 (중곡동)",한식,광진구,127.0853505,37.56826511
마포돼지갈비,서울특별시 광진구 구의동 29-10 101호 ,"서울특별시 광진구 천호대로129길 40, 1층 101호 (구의동)",한식,광진구,127.0916577,37.55330376
