사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도
마녀주방 성신여대점,서울특별시 성북구 동선동1가 101번지 ,"서울특별시 성북구 동소문로22길 11, 2~3층 (동선동1가)",경양식,성북구,127.0176779,37.59256086,마녀주방,서울특별시 성북구 동선동 동소문로22길 11,4.4,음식점,21,37.5925366,127.0176514
연안옥 칼순대국,서울특별시 서대문구 창천동 13-83,서울특별시 서대문구 연세로4길 21 (창천동),일식,서대문구,126.9379479,37.55742123,연안옥 칼순대국 신촌점,서울특별시 서대문구 연세로4길 21 1층 1호,5.0,음식점,2,37.5573899,126.9379442
스프레드(spread),서울특별시 성북구 성북동 184-37번지 ,"서울특별시 성북구 성북로6가길 1, 1층 (성북동)",기타,성북구,127.0046496,37.59032828,스프레드 서울 성북점,서울특별시 성북구 성북로6가길 1,4.6,제과점,34,37.5902909,127.0046545
서리재 현대미아점,서울특별시 성북구 길음동 20-1 현대백화점미아점 9층 ,"서울특별시 성북구 동소문로 315, 현대백화점미아점 9층 (길음동)",한식,성북구,127.0287246,37.60837445,서리재 현대미아점,서울특별시 성북구 동소문로 315,4.0,한식당,3,37.6083223,127.0287626
꿀삐닭강정 안암점,서울특별시 성북구 안암동2가 98-4번지 지상 1층 ,서울특별시 성북구 고려대로13길 10-2 (안암동2가),분식,성북구,127.0235243,37.58702678,꿀삐닭강정안암점,서울특별시 성북구 안암동2가 98-4번지,3.0,음식점,2,37.5869902,127.0235099
은행골,서울특별시 성북구 동소문동5가 104 ,"서울특별시 성북구 동소문로18길 17-11, 1층 (동소문동5가)",기타,성북구,127.0164931,37.59149053,은행골,서울특별시 성북구 동소문동5가 104,5.0,일본 음식점,2,37.5914901,127.0164933
경성한우국밥,서울특별시 성북구 종암동 79-260 풍요로움 101호,"서울특별시 성북구 종암로21가길 10, 1층 101호 (종암동, 풍요로움)",한식,성북구,127.0335696,37.5990688,경성한우국밥,서울특별시 성북구 종암동 79-260,3.7,한식당,7,37.5990684,127.0335698
트로피티 아일랜드 한성대점,서울특별시 성북구 삼선동3가 95 ,"서울특별시 성북구 보문로29길 119, 지하1층 (삼선동3가)",기타,성북구,127.0122715,37.58532612,트로피티아일랜드 한성대점,서울특별시 성북구 삼선동3가 95,5.0,커피숍/커피 전문점,2,37.5853257,127.0122716
리파인,서울특별시 성북구 안암동1가 1-1 ,"서울특별시 성북구 고려대로7길 74, 지하1층 (안암동1가)",한식,성북구,127.0191457,37.58884232,리파인,서울특별시 성북구 안암동1가 1-1,4.0,한식당,1,37.5887872,127.0191438
몽란,서울특별시 성북구 동선동4가 122-4 ,"서울특별시 성북구 동소문로 129-1, 1~3층 (동선동4가)",기타,성북구,127.0186863,37.59447384,몽란 Montran,서울특별시 성북구 동선동4가 122-3번지,4.0,이탈리아 음식점,4,37.5944454,127.0186982
몽클락(MongClock),서울특별시 성북구 하월곡동 81-48 ,"서울특별시 성북구 오패산로17길 21-18, 1층 (하월곡동)",기타,성북구,127.0349858,37.60743865,몽클락,서울특별시 성북구 오패산로17길 21-18,4.8,카페,4,37.6074382,127.0349859
연하누 정육식당,서울특별시 성북구 동선동1가 72-2 해송빌딩 ,"서울특별시 성북구 동소문로20길 37-6, 해송빌딩 1층 (동선동1가)",한식,성북구,127.0172755,37.59084686,연하누 정육식당,서울특별시 성북구 해송빌딩 1층 연하누 정육식당,5.0,정육식당,2,37.590876,127.0172063
별관,서울특별시 성북구 동선동1가 85-38 ,"서울특별시 성북구 동소문로24길 31, 지하1층 (동선동1가)",한식,성북구,127.0189541,37.59227187,별관 | ANNEX,서울특별시 성북구 동선동1가 85-38,4.4,퓨전 음식점,195,37.5922384,127.0188802
동동 냉면 돈까스,서울특별시 성북구 안암동5가 15-38 ,"서울특별시 성북구 고려대로27길 24-2, 1층 (안암동5가)",한식,성북구,127.029896,37.58734173,동동냉면돈까스,서울특별시 성북구 고려대로27길 24-2 1층,5.0,한식당,7,37.587341,127.029896
온정집,서울특별시 성북구 장위동 203-30 1층 ,"서울특별시 성북구 장월로 148, 1층 (장위동)",한식,성북구,127.0512983,37.61788214,온정집,서울특별시 성북구 장월로 148 1층,4.8,한식당,13,37.6178554,127.051265
넷길이 콩나물국밥,서울특별시 성북구 삼선동5가 291-2 1층 ,"서울특별시 성북구 보문로 149-1, 1층 (삼선동5가)",한식,성북구,127.0174409,37.58801153,넷길이콩나물국밥 성북구청점,"1층, 149-1 보문로 성북구 서울특별시",4.6,한식당,11,37.5880111,127.0174411
